,user_id,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,09-2019,06-2019
120,2394,2,0,3,3,1,0,0,0,0
121,3269,1,0,0,0,0,0,0,0,0
122,3272,7,4,6,1,0,0,0,0,0
123,3275,2,0,0,0,0,0,0,0,0
124,3273,5,2,2,1,0,0,0,0,0
125,3276,5,0,0,0,0,0,0,0,0
126,3278,6,3,3,0,0,0,0,0,0
127,3279,3,1,0,0,0,0,0,0,0
128,3081,3,1,1,0,0,0,0,0,0
129,3290,1,3,1,0,0,0,0,0,0
130,2042,6,4,11,3,1,0,0,0,0
131,3293,2,0,0,0,0,0,0,0,0
132,3211,2,4,1,0,0,0,0,0,0
133,3296,2,5,0,0,0,0,0,0,0
134,3301,1,0,0,0,0,0,0,0,0
135,3284,4,3,9,0,0,0,0,0,0
136,3303,3,6,2,0,0,0,0,0,0
137,3292,2,3,6,0,0,0,0,0,0
138,3304,2,0,0,0,0,0,0,0,0
139,3268,2,0,0,0,0,0,0,3,0
140,3314,4,2,2,1,2,0,0,0,0
141,3312,3,2,1,0,0,0,0,0,0
142,3307,1,0,0,0,0,0,0,0,0
143,3317,1,5,1,1,0,0,0,0,0
144,3321,1,4,1,0,0,0,0,0,0
145,3034,1,0,0,0,0,0,0,0,0
146,2882,4,0,0,0,0,0,0,0,0
147,3328,4,0,6,0,0,2,0,0,0
148,3315,6,2,1,1,1,0,0,0,0
149,2877,5,2,1,0,0,0,0,0,0
150,2003,1,0,0,0,0,0,0,0,0
151,2026,3,0,0,0,0,0,0,0,0
152,3206,3,0,2,0,0,0,0,0,0
153,3338,2,6,2,0,0,0,0,0,0
154,3342,6,4,4,0,0,0,0,0,0
155,3322,2,0,5,0,0,0,0,0,0
156,1799,1,0,0,0,0,0,0,0,0
157,3346,5,0,0,0,0,0,0,0,0
158,3277,5,0,0,0,0,1,0,0,0
159,3347,6,4,10,0,0,0,0,0,0
160,3201,5,3,4,5,0,0,0,0,0
161,3352,1,0,0,0,0,0,0,0,0
162,3172,3,4,3,0,0,1,0,1,0
163,3209,2,0,0,0,0,0,0,0,0
164,3357,5,3,3,1,0,0,0,0,0
165,3224,3,0,0,0,0,0,0,0,0
166,3373,4,4,3,1,0,0,0,0,0
167,3015,1,0,0,0,0,0,0,0,0
168,3377,2,0,0,0,0,0,0,0,0
169,3383,4,1,0,0,0,0,0,0,0
170,3382,2,5,4,1,0,0,0,0,0
171,3355,6,3,7,1,0,0,0,0,0
172,2836,3,2,6,0,0,0,0,0,0
173,2854,5,1,0,0,0,0,0,0,0
174,1969,4,2,2,2,1,0,0,0,0
175,3294,7,0,0,0,0,0,0,0,0
176,3176,5,1,0,0,0,0,0,0,0
177,3231,4,4,5,0,0,0,0,0,0
178,3348,3,0,0,0,0,0,0,0,0
179,3394,2,0,0,0,0,0,0,0,0
180,3349,3,5,0,0,0,0,0,0,0
181,3343,3,0,0,0,0,0,0,0,0
182,3392,2,5,6,0,0,0,0,0,0
183,3396,2,6,2,1,0,0,0,1,0
184,2708,3,5,4,1,1,1,0,1,0
185,3401,1,3,2,0,0,0,0,0,0
186,3354,6,5,4,1,1,4,0,0,0
187,3339,3,8,5,1,0,0,0,0,0
188,3300,1,0,0,0,0,0,0,0,0
189,3405,1,0,0,0,0,0,0,0,0
190,3400,3,4,14,1,0,0,0,0,0
191,2272,3,1,0,0,0,0,0,0,0
192,3302,2,0,0,0,0,0,0,0,0
193,2294,5,4,2,4,0,0,0,0,0
194,3316,1,3,1,2,0,0,0,0,0
195,3419,1,0,0,0,0,0,0,0,0
196,3423,1,0,3,0,0,0,0,0,0
197,3359,2,0,0,0,0,0,0,0,0
198,3230,1,0,0,0,0,0,0,0,0
199,3356,2,0,0,0,0,0,0,0,0
200,3435,2,0,0,0,0,0,0,0,0
201,2551,7,3,0,0,0,0,0,0,0
202,3037,1,0,0,0,0,0,0,0,0
203,3036,1,0,0,0,0,0,0,0,0
204,3451,2,1,2,1,0,0,0,0,0
205,2699,3,9,2,0,0,0,0,0,0
206,3449,2,6,1,0,0,1,0,0,0
207,3452,1,0,0,0,0,0,0,0,0
208,3456,1,0,0,0,0,0,0,0,0
209,3458,1,2,0,0,0,0,0,0,0
210,3364,3,1,0,0,0,0,0,0,0
211,3374,1,0,0,0,0,0,0,0,0
212,3414,2,3,2,2,1,0,0,0,0
213,3465,2,1,0,0,0,0,0,0,0
214,3464,1,0,1,0,0,0,0,0,0
215,3367,2,0,0,0,0,0,0,0,0
216,2861,5,2,0,0,0,0,0,0,0
217,3421,1,0,0,0,0,0,0,0,0
218,3471,2,3,1,0,0,0,0,0,0
219,3433,2,0,0,0,0,0,0,0,0
220,3282,1,2,0,0,0,0,0,0,0
221,3350,2,5,0,0,0,0,0,0,0
222,3440,2,0,7,0,0,0,0,0,0
223,3306,1,2,4,1,0,0,1,0,0
224,3283,4,4,1,0,0,1,0,0,0
225,3297,6,4,0,0,0,0,0,0,0
226,3487,2,0,3,1,0,2,0,1,0
227,3489,1,3,3,1,0,2,0,1,0
228,3490,1,0,1,2,0,0,0,0,0
229,3474,3,3,2,2,0,0,0,0,0
230,3446,3,2,0,0,0,0,0,0,0
231,3492,3,3,0,0,0,0,0,0,0
232,2782,4,3,0,0,0,0,0,0,0
233,3247,1,0,0,0,0,0,0,0,0
234,3418,1,0,0,0,0,0,0,0,0
235,3340,5,3,0,0,0,0,0,0,0
236,3384,5,3,1,0,0,0,0,0,0
237,2938,2,2,0,0,0,0,0,0,0
238,3488,3,3,3,0,0,0,0,0,0
239,3416,3,2,0,0,0,0,0,0,0
240,3509,3,2,2,2,1,1,0,0,0
241,3462,1,0,0,0,0,0,0,0,0
242,3506,1,0,0,0,0,0,0,0,0
243,2216,2,1,1,0,0,0,0,0,0
244,3523,3,4,2,0,0,0,0,0,0
245,2399,4,2,0,0,0,0,0,0,0
246,3358,1,0,0,0,0,0,0,0,0
247,3526,3,4,1,0,0,0,0,0,0
248,3028,1,0,0,0,0,0,0,0,0
249,3426,2,0,0,0,0,0,0,0,0
250,3299,2,0,0,0,0,0,0,0,0
251,3524,3,1,3,0,0,0,0,0,0
252,3207,1,0,0,0,0,0,0,0,0
253,3528,2,1,0,0,0,0,0,0,0
254,3351,4,5,12,1,0,0,0,0,0
255,3529,3,5,17,0,0,0,0,0,0
256,3457,3,1,0,0,0,0,0,0,0
257,1967,4,3,2,0,0,0,0,0,0
258,3459,2,5,5,1,0,0,0,0,0
259,2671,1,0,6,0,0,0,0,0,0
260,3534,3,0,0,0,0,1,0,4,0
261,3533,3,3,0,0,0,0,0,0,0
262,3104,1,0,5,2,0,0,0,0,0
263,3535,1,4,0,0,0,0,0,0,0
264,3536,1,0,0,0,0,0,0,0,0
265,3542,3,0,1,0,0,0,0,0,0
266,3544,1,0,0,1,0,0,0,0,0
267,3476,1,4,0,0,0,0,0,0,0
268,2510,5,4,2,1,0,0,0,0,0
269,3540,1,0,0,0,0,0,0,0,0
270,3548,2,1,0,0,0,0,0,0,0
271,3549,2,4,0,0,3,1,0,0,0
272,3552,3,3,3,0,0,0,0,0,0
273,3553,3,1,1,3,0,0,0,0,0
274,3545,1,0,0,0,0,0,0,0,0
275,3546,3,1,1,2,0,0,0,0,0
276,3402,3,5,2,1,3,0,0,0,0
277,3335,1,0,0,0,0,0,0,0,0
278,1814,1,1,0,0,0,0,0,0,0
279,2651,2,7,17,4,0,2,0,0,0
280,3569,1,0,0,0,0,0,0,0,0
281,3472,2,6,6,3,0,0,0,0,0
282,3578,3,2,7,9,1,4,0,0,0
283,3547,3,0,0,0,0,0,0,0,0
284,3584,1,0,0,0,0,0,0,0,0
285,3477,1,4,7,0,0,0,0,3,0
286,3463,2,4,0,1,0,0,0,0,0
287,2786,2,2,0,0,0,0,0,0,0
288,2613,3,3,0,0,0,0,0,0,0
289,3593,1,1,6,0,0,0,0,0,0
290,3590,3,3,3,1,0,1,0,0,0
291,3595,3,3,3,1,3,2,0,0,0
292,3596,2,3,0,0,0,0,0,0,0
293,2829,2,1,2,1,0,0,0,1,0
294,3582,4,3,7,8,6,1,0,0,0
295,3594,3,2,4,2,2,3,0,0,0
296,3597,2,0,0,0,0,0,0,0,0
297,3600,2,0,0,0,0,0,0,0,0
298,3601,3,0,0,0,0,0,0,0,0
299,3599,1,1,0,0,0,0,0,0,0
300,3603,2,0,8,0,0,0,0,0,0
301,3604,3,4,0,0,0,0,0,0,0
